Question,Hint,Answer
What is a cloud PBX?,Think telephony functions hosted by a service provider rather than entirely on local hardware.,A cloud PBX provides PBX/telephony services from cloud infrastructure.
What is an auto attendant?,Think 'Press 1 for Sales' menus.,An auto attendant automatically answers calls and provides menu/routing options.
What is a hunt group?,Think multiple phones ringing according to a defined distribution pattern.,A hunt group distributes incoming calls among a group of extensions.
What is call quality MOS?,Think a score representing perceived voice quality.,Mean Opinion Score is a commonly used scale/metric for assessing perceived voice quality.
What is a jitter spike likely to sound like?,Think voice arriving unevenly.,"It can cause choppy, distorted, or robotic audio."
What is packet loss likely to sound like in VoIP?,Think pieces of speech disappearing.,"Packet loss can produce gaps, missing syllables, clicks, or distorted audio."
What is excessive latency likely to feel like during a conversation?,Think talking over someone because responses arrive late.,High latency creates noticeable conversational delay and can cause participants to interrupt each other.
What is a common first troubleshooting step for a VoIP phone with no power?,Think power before network protocols.,"Check PoE or power adapter, cable, switch port, and power indicators."
What is a common first troubleshooting step for a VoIP phone with power but no network?,Think Layer 1 and Layer 2 before SIP.,"Check Ethernet link, switch port, VLAN configuration, DHCP, and IP addressing."
What is a common first troubleshooting step for a VoIP phone with network but no registration?,"Think IP connectivity works, but the phone's telephony service connection does not.","Check DNS, SIP server configuration, credentials, firewall/NAT, time/certificates where applicable, and service availability."
What is a common first troubleshooting step for VoIP registration but no inbound calls?,Think signaling and routing to the endpoint.,"Check extension registration state, call routing, dial plan, SIP server configuration, and NAT/firewall behavior."
What is a common first troubleshooting step for one-way VoIP audio?,Think the media path rather than the call setup.,"Check RTP ports, NAT, firewall/ACL rules, routing, and codec/media negotiation."
What is a common first troubleshooting step for poor VoIP quality only during busy hours?,Think congestion and prioritization.,"Investigate bandwidth utilization, QoS, jitter, packet loss, latency, and whether voice traffic is being prioritized."
What is a network baseline?,Think knowing what 'normal' looks like before a problem occurs.,"A baseline documents normal performance, utilization, latency, errors, and other operational metrics for comparison."
Why is a network baseline useful?,"Without normal measurements, 'slow' is subjective.",A baseline lets technicians compare current behavior with normal conditions and identify deviations.
What is SNMP polling?,Think a monitoring system asking network devices for status/metrics.,"SNMP polling queries managed devices for information such as interface counters, CPU usage, memory, and status."
What is an SNMP trap?,Think the device notifying the monitoring system instead of waiting to be asked.,An SNMP trap is an asynchronous notification sent by a managed device to a monitoring system.
What is interface utilization?,Think how much of a network link's capacity is being consumed.,Interface utilization measures the traffic load on a network interface relative to its capacity.
What is an interface error counter useful for?,Think evidence of physical/link problems.,"Increasing errors can indicate cable, transceiver, duplex, interference, or hardware problems."
What is a port flapping?,Think the link repeatedly going up and down.,"Port flapping is repeated link state changes and can indicate a cable, NIC, transceiver, power, or configuration problem."
What is a switch port security feature?,Think limiting which devices can use a port.,Port security can restrict MAC addresses or device behavior on a switch port.
What is a MAC address table aging timer?,Think the switch shouldn't remember a device forever if it disappears.,The aging timer controls how long dynamically learned MAC entries remain before being removed.
What is a managed switch?,Think configuration rather than a simple plug-and-play Ethernet box.,"A managed switch provides configurable features such as VLANs, monitoring, security, QoS, and management interfaces."
What is an unmanaged switch?,Think basic Ethernet connectivity with little configuration.,An unmanaged switch provides basic switching without the advanced management/configuration features of a managed switch.
What is a Layer 3 switch?,Think a switch capable of performing routing functions.,A Layer 3 switch can perform both Layer 2 switching and Layer 3 routing functions.
What is a router-on-a-stick?,Think one router interface carrying multiple VLANs through a trunk.,Router-on-a-stick uses a trunk link and router subinterfaces to route between VLANs.
What is inter-VLAN routing?,Think communication between VLANs.,Inter-VLAN routing allows devices in different VLANs to communicate through a Layer 3 device.
What is a native VLAN?,Think the VLAN whose frames may be sent untagged on an 802.1Q trunk.,The native VLAN is the VLAN associated with untagged traffic on an 802.1Q trunk.
What is 802.1Q?,Think VLAN tagging.,IEEE 802.1Q defines VLAN tagging used on Ethernet trunks.
What is a broadcast storm prevention strategy?,Think stopping loops and limiting excessive broadcast traffic.,"Use STP, proper topology, VLAN design, storm-control features where appropriate, and careful cabling."
What is a loopback address useful for testing?,Think eliminating physical network variables.,127.0.0.1 tests the local IPv4 TCP/IP stack; ::1 performs the same role for IPv6.
What does ping ::1 test?,Think IPv6's local loopback.,It tests the local IPv6 protocol stack.
What is a DNS timeout?,Think the resolver asked for an answer but did not receive one within the expected period.,"A DNS timeout can indicate an unreachable DNS server, network problem, firewall issue, or overloaded resolver."
What is a DNS NXDOMAIN response?,Think the DNS server explicitly says the requested name does not exist.,NXDOMAIN indicates the queried domain name does not exist according to the responding DNS system.
What is an incorrect DNS suffix?,Think a short hostname being expanded into the wrong domain.,A DNS search suffix controls domains automatically appended to unqualified names and can cause incorrect resolution.
What is a split DNS configuration?,Think the same name may resolve differently internally versus externally.,Split DNS provides different DNS responses or zones depending on whether the client is inside or outside the network.
What is a VPN DNS leak?,Think DNS queries escaping the intended secure DNS path.,A DNS leak occurs when DNS requests use an unintended resolver outside the VPN/security boundary.
What is a VPN client?,Think software that establishes a secure connection to a remote network/service.,A VPN client creates and manages the endpoint side of a VPN connection.
What is a VPN concentrator?,Think the central device/server handling many VPN connections.,A VPN concentrator terminates and manages multiple VPN tunnels.
What is remote-access VPN versus site-to-site VPN?,One connects individual users; the other connects networks.,Remote-access VPN connects individual clients to a network; site-to-site VPN connects entire networks through a tunnel.
What is split-tunnel VPN versus full-tunnel VPN?,Think which Internet traffic crosses the corporate tunnel.,Split tunnel sends selected traffic through the VPN; full tunnel sends most/all traffic through the VPN gateway.
What is a VPN tunnel endpoint?,Think where the encrypted tunnel starts or ends.,A VPN tunnel endpoint is a device/service that establishes or terminates the VPN tunnel.
What is encryption overhead?,Think extra protocol information and processing added to protect data.,"Encryption and tunneling can add headers, processing, and sometimes reduce effective MTU."
What is an IPsec VPN?,Think a widely used network-layer VPN technology.,IPsec is a suite of protocols used to secure IP communications and VPN tunnels.
What is SSL/TLS VPN?,Think VPN access delivered through TLS-based technologies rather than traditional IPsec.,A TLS VPN uses TLS-based secure communication for remote access or tunneling.
What is authentication in a VPN?,Think proving the user/device is authorized to establish the tunnel.,VPN authentication verifies the identity of the user/device before or during tunnel establishment.
What is a pre-shared key?,Think a shared secret configured on both sides of a VPN or wireless system.,A pre-shared key is a secret value known to both parties and used for authentication/key establishment.
What is certificate-based VPN authentication?,Think digital certificates replacing a simple shared password/secret.,Certificate-based authentication uses trusted certificates and private keys to verify identities.
What is a security certificate's private key?,Think the secret cryptographic material that must never be casually shared.,The private key is secret cryptographic material used for signing/decryption operations depending on the certificate system.
What is hashing?,Think creating a fixed-length representation used to detect changes or support security functions.,A cryptographic hash produces a fixed-size digest from input data and is designed to make finding collisions difficult.
What is encryption versus hashing?,One is reversible with the appropriate key; the other is designed as a one-way transformation.,Encryption is intended to protect data while allowing authorized decryption; hashing creates a digest and is not intended to be reversed.
What is salting a password hash?,Think adding unique random data before hashing passwords.,A salt is random data added to a password before hashing to make precomputed attacks less effective.
What is MFA's biggest practical advantage?,"If a password leaks, the attacker still needs another factor.",MFA reduces the impact of password compromise by requiring additional authentication factors.
What is endpoint protection?,Think security software and controls on user devices.,"Endpoint protection detects/prevents malicious activity and may include antivirus, EDR, firewall, and related controls."
What is antivirus?,Think detecting and blocking known or suspicious malicious software.,"Antivirus software detects, prevents, and/or removes malware."
What is EDR?,Think deeper endpoint monitoring than traditional signature-only antivirus.,"Endpoint Detection and Response continuously monitors endpoint activity and supports detection, investigation, and response."
What is ransomware?,Think malware that blocks access to data and demands payment.,Ransomware is malicious software that commonly encrypts or otherwise blocks data and demands payment.
What is the best defense against ransomware from a recovery perspective?,Think what lets you restore data without negotiating with the attacker.,"Reliable, tested, isolated backups are critical for recovery."
What is a security update versus a feature update?,One primarily addresses vulnerabilities/bugs; the other may introduce broader functionality.,A security update primarily fixes security vulnerabilities; a feature update introduces larger functionality changes and may include security fixes.
What is a zero-day vulnerability?,Think a vulnerability being exploited or disclosed before a vendor has had time to provide a full fix.,"A zero-day is a vulnerability for which there is little or no prior warning/available patch at the time of exploitation or disclosure, depending on context."
What is social engineering?,Think attacking the human rather than the computer.,Social engineering manipulates people into revealing information or performing actions that compromise security.
What is shoulder surfing?,Think someone watching a user type a password.,Shoulder surfing is observing someone to obtain sensitive information.
What is tailgating in physical security?,Think following an authorized person through a secured door.,Tailgating is gaining physical access by following an authorized person without proper authentication.
What is clean desk policy?,Think reducing sensitive information left physically exposed.,A clean desk policy requires sensitive documents and media to be secured rather than left unattended.
What is secure disposal of storage media?,Think deleting a file isn't necessarily the same as securely disposing of a drive.,"Secure disposal uses appropriate sanitization, destruction, or approved processes based on the data sensitivity and media type."
What is data sanitization?,Think making stored data unrecoverable through approved processes.,Data sanitization removes or destroys data so it cannot be reasonably recovered using expected methods.
What is a company asset tag?,Think a label identifying organizational equipment.,An asset tag uniquely identifies equipment for inventory and lifecycle tracking.
What is an acceptable use policy?,Think rules governing how employees may use company technology.,An acceptable use policy defines permitted and prohibited uses of organizational systems/resources.
What is a BYOD policy?,Think employees using personal phones/laptops for work.,A Bring Your Own Device policy defines security and usage requirements for personally owned devices accessing company resources.
What is remote lock on a mobile device?,Think locking a lost phone without physically holding it.,Remote lock allows an authorized management system to lock the device remotely.
What is geofencing in mobile management?,Think policies changing based on device location.,Geofencing uses geographic boundaries to trigger policies or actions when a device enters or leaves a defined area.
What is application whitelisting?,Think only approved applications are allowed to run.,Application allowlisting restricts execution to approved software.
What is application blacklisting?,Think explicitly blocking known unwanted applications.,Application blocklisting prevents specified applications from running or being installed.
What is a BIOS password?,Think firmware-level access control before normal operating-system startup.,"A BIOS/UEFI password can restrict access to firmware settings or, depending on configuration, startup."
What is a boot password versus full-disk encryption?,One can restrict startup; the other protects the actual stored data cryptographically.,A boot password controls access to startup/firmware functions; full-disk encryption protects stored data from offline access.
What is a hardware security module?,Think specialized hardware for protecting cryptographic keys.,"An HSM is a dedicated device designed to securely generate, store, and use cryptographic keys."
What is the principle of defense in depth?,Think multiple layers of security rather than trusting one control.,Defense in depth uses multiple complementary security controls so failure of one does not expose the entire system.
What is a security baseline?,Think a standard secure configuration that systems should meet.,A security baseline defines approved configuration and security settings used as a standard for systems.
What is configuration management?,Think knowing and controlling how systems are configured over time.,"Configuration management tracks, standardizes, and controls system configurations and changes."
What is a golden image?,Think a standardized OS image used to deploy computers consistently.,A golden image is an approved baseline system image used for standardized deployment.
What is deployment imaging useful for?,Think setting up 50 identical PCs without manually installing each one.,Imaging can rapidly deploy standardized operating-system and application configurations.
What is PXE boot?,Think booting a computer from a network rather than local storage.,Preboot Execution Environment allows a compatible system to boot from a network and is commonly used for OS deployment.
What does DHCP have to do with PXE?,The client needs network configuration and information about how/where to obtain boot files.,PXE deployments commonly use DHCP-related options/processes to help clients locate boot resources.
What is a network boot server?,Think a server providing boot files to PXE clients.,A network boot server provides the files/services needed for network-based system startup.
What is a boot image?,Think a small environment used to start deployment or recovery.,"A boot image contains the software needed to start a system into a deployment, installation, or recovery environment."
What is an unattended installation?,Think installing an OS without manually answering every setup question.,An unattended installation uses predefined configuration information to automate OS deployment.
What is a driver package?,Think a collection of files needed to support a hardware device.,A driver package contains the software and associated files required to install/support hardware.
What is a chipset driver?,Think software enabling the OS to properly use motherboard platform features.,Chipset drivers support communication and functionality for motherboard chipset/platform components.
What is firmware versus driver?,One is stored on the device itself; the other is software the OS uses to control it.,Firmware runs on/controls the hardware device; drivers run in the operating-system environment and provide software interfaces to the hardware.
What is a BIOS/UEFI firmware brick?,Think an interrupted or incorrect firmware update leaving the system unable to initialize.,A failed firmware update can corrupt firmware and potentially prevent normal startup.
What is dual BIOS?,Think a motherboard with a backup firmware mechanism.,Dual BIOS designs provide a secondary firmware image or recovery mechanism to help recover from firmware problems.
What is hardware diagnostics before OS loading useful for?,"Think testing RAM, storage, CPU, or other hardware independently of Windows/Linux.",Pre-boot diagnostics can isolate hardware problems without relying on the installed operating system.
What is a manufacturer's diagnostic partition/tool?,Think vendor-provided hardware testing environment.,It provides hardware diagnostics and sometimes recovery tools specific to the system.
What is a burn-in test?,Think deliberately stressing hardware to expose instability.,A burn-in test stresses components under controlled conditions to reveal intermittent or load-related failures.
What is thermal stress testing?,Think deliberately applying load while monitoring temperatures.,Thermal stress testing evaluates system stability and cooling performance under sustained load.
What is SMART's limitation?,Think a health indicator isn't a guarantee.,SMART can identify warning signs but cannot guarantee a drive will not fail unexpectedly.
What is RAID's limitation regarding backups?,Think redundancy isn't historical recovery.,"RAID can improve availability/fault tolerance but does not replace backups because accidental deletion, corruption, or malware can affect redundant copies too."
What is hot spare in RAID?,Think an unused drive waiting to replace a failed member automatically or quickly.,A hot spare is a standby drive available to take over for a failed RAID member.
What is RAID rebuild?,Think restoring redundancy after replacing a failed drive.,A RAID rebuild reconstructs data/parity onto a replacement drive.
Why can RAID rebuilds be risky or slow?,Large arrays require significant I/O and expose the system to additional failures during rebuild.,"Rebuilds can take a long time and may stress remaining drives, especially on large arrays."
What is parity in RAID?,Think calculated information used to reconstruct missing data.,Parity is redundant calculated data that can be used to recover information after certain drive failures.
What is a NAS?,Think storage accessed over a network.,Network Attached Storage provides file/storage services to network clients.
What is a SAN?,Think specialized high-performance storage networking rather than ordinary file sharing.,A Storage Area Network provides block-level storage over a dedicated or specialized network.
What is DAS?,Think storage directly attached to a computer rather than accessed over a network.,Direct Attached Storage connects storage directly to a host system.
What is block-level storage?,Think a server sees storage as raw blocks that it can format/use.,Block storage provides raw storage volumes that an operating system can format and manage.
What is file-level storage?,Think users accessing named files through a filesystem/share.,File-level storage provides files and directories through protocols such as SMB or NFS.
What is SMB used for in a career setting?,Think Windows shared folders and network printers.,SMB is widely used for Windows file and printer sharing.
What is NFS used for?,Think Unix/Linux network file sharing.,NFS provides network file access commonly used in Unix/Linux environments.
What is a mapped network drive?,Think a shared folder appearing as a drive letter in Windows.,A mapped network drive associates a network share with a local drive letter.
What is a UNC path?,Think Windows network path without a drive letter.,A UNC path identifies a network resource using a form such as \\server\share.
What does the ping command use under the hood?,Think the Internet Control Message Protocol.,Ping uses ICMP Echo Request and Echo Reply messages.
What is ICMP used for beyond ping?,Think network control and diagnostic messaging.,"ICMP carries error, control, and diagnostic messages used by IP networks."
What is traceroute/tracert actually trying to reveal?,Think routers along the path.,It reveals intermediate hops by using packet TTL/hop-limit behavior and observing responses.
What does TTL do in IPv4?,Think preventing packets from circulating forever.,Time To Live limits how many Layer 3 hops a packet can traverse before being discarded.
What is hop count?,Think how many routers a packet crosses.,Hop count represents the number of Layer 3 routing hops between source and destination.
What is a routing loop?,Think routers forwarding packets around in circles.,A routing loop occurs when routing decisions cause packets to repeatedly traverse the same path rather than reaching the destination.
What is a route metric?,Think the value used to compare possible paths.,A routing metric measures or represents the preference/cost of a route.
What is static routing?,Think manually configured routes.,Static routes are manually configured by an administrator.
What is dynamic routing?,Think routers learning routes through routing protocols.,Dynamic routing protocols allow routers to exchange and learn routing information automatically.
What is a default route used for?,Think the route of last resort.,A default route handles destinations for which no more specific route exists.
What is a gateway of last resort?,Same concept as a default route.,A gateway of last resort is the next hop used for traffic without a more specific route.
What is an ACL mistake that commonly breaks applications?,Think allowing the server but forgetting return traffic or required ports.,"Incorrect source/destination, protocol, port, direction, or state rules can block required traffic."
What is a firewall allow rule?,Think explicitly permitting a particular type of traffic.,An allow rule permits traffic matching specified criteria.
What is a firewall deny rule?,Think explicitly blocking matching traffic.,A deny rule blocks traffic matching specified criteria.
What is implicit deny?,Think traffic not explicitly permitted is blocked.,An implicit deny means traffic that does not match an allow rule is denied by default.
What is port 53 TCP used for when DNS normally uses UDP?,Think cases where DNS needs a reliable larger transfer.,"TCP 53 is used for functions such as zone transfers and DNS responses that require TCP, including certain large responses."
What is a DNS zone transfer?,Think copying authoritative DNS zone information between DNS servers.,A zone transfer replicates DNS zone data between authoritative servers.
What is AXFR?,Think a complete DNS zone transfer.,AXFR is a DNS mechanism for transferring an entire zone.
What is a firewall's role in DNS troubleshooting?,Think DNS queries must reach a DNS service and responses must return.,"A firewall can block DNS traffic or redirect/filter it, preventing name resolution."
What is a DNS server address in ipconfig /all?,Think the server your computer asks to resolve names.,It lists configured DNS resolver/server addresses.
What does ipconfig /displaydns do?,Think viewing Windows' local DNS cache.,It displays the contents of the Windows DNS resolver cache.
What does ipconfig /flushdns do?,Think clearing potentially stale DNS information.,It clears the Windows DNS resolver cache.
What is a stale DNS record?,Think the cached answer no longer reflects current infrastructure.,A stale record is outdated DNS information that may direct clients to an old or incorrect destination.
What is the difference between a DNS problem and an Internet problem?,DNS is name resolution; Internet connectivity is broader.,"DNS can fail while IP connectivity works, and Internet connectivity can fail even when DNS resolution works."
What is a network adapter's link speed?,Think the negotiated physical/data-link rate.,Link speed is the negotiated transmission rate between compatible network interfaces.
What is auto-negotiation?,Think Ethernet devices agreeing on speed/duplex capabilities.,Auto-negotiation allows compatible interfaces to exchange capabilities and select appropriate speed/duplex settings.
What is a duplex mismatch symptom?,Think bad performance even though the link appears up.,"High errors, collisions/late collisions, retransmissions, and poor throughput can occur."
What is an Ethernet link light?,Think physical connectivity evidence.,A link light generally indicates that the interface detects a physical link.
What is an activity light?,Think data moving rather than just a cable being connected.,An activity LED typically flashes when traffic is being transmitted/received.
What is a NIC driver problem likely to look like?,Think hardware exists but the OS cannot use it correctly.,"The adapter may be missing, disabled, unstable, or show an error in Device Manager."
What is NIC teaming?,Think multiple network adapters acting together.,"NIC teaming combines multiple physical network interfaces for redundancy and/or load distribution, depending on configuration."
What is link redundancy?,Think another physical path remains if one fails.,Redundant links provide an alternate communication path when one link fails.
What is a failover?,Think automatically switching to a backup resource after a failure.,Failover moves service/functionality to a redundant resource when the primary fails.
What is a failback?,Think returning to the primary after it is restored.,Failback returns operations from the backup resource to the primary resource.
What is a UPS graceful shutdown?,Think the UPS tells the operating system the battery is running low.,A managed UPS can signal systems to shut down safely before battery power is exhausted.
What is battery runtime on a UPS?,Think how long the connected equipment can operate during an outage.,Battery runtime is the expected duration the UPS can power connected loads under specified conditions.
What affects UPS runtime?,Think load and battery condition.,"Connected load, battery capacity/age, UPS efficiency, and environmental conditions affect runtime."
What is a power budget in a data center?,Think ensuring available electrical capacity is sufficient for equipment.,A power budget tracks expected electrical consumption and available capacity.
What is cooling redundancy?,Think having backup cooling capacity if a fan/AC unit fails.,Cooling redundancy maintains safe temperatures despite component or cooling-system failures.
What is a hot aisle/cold aisle layout?,Think organizing server airflow rather than letting hot and cold air mix.,"It arranges equipment so server intakes face cold aisles and exhausts face hot aisles, improving cooling efficiency."
What is a rack unit (U)?,Think standardized server rack height measurement.,A rack unit is a standard vertical measurement used for rack equipment; 1U is 1.75 inches.
What is a blade server?,Think compact server modules sharing chassis infrastructure.,"A blade server is a modular server installed in a shared chassis that can provide common power, cooling, and networking."
What is a tower server?,Think server hardware in a tower-style chassis.,A tower server uses a standalone tower chassis and is often suitable for smaller environments.
What is a rack server?,Think equipment designed to mount in a standard rack.,A rack server is designed for installation in a server rack and is commonly measured in rack units.
What is hot aisle/cold aisle useful for?,Think preventing server exhaust air from entering other servers' intakes.,It improves airflow efficiency and reduces cooling-system workload.
What is a data center environmental sensor?,Think monitoring conditions rather than waiting for hardware to fail.,"Environmental sensors monitor factors such as temperature, humidity, smoke, water, or power conditions."
What is humidity risk for IT equipment?,Think both condensation and static electricity.,Excessive humidity can contribute to condensation/corrosion; very low humidity can increase static-electricity risk.
What is an HVAC system's role in IT?,Think maintaining environmental conditions.,"HVAC maintains temperature, humidity, and airflow suitable for equipment and personnel."
What is a server room's purpose?,Think centralized protected infrastructure.,"A server room houses network/server equipment with appropriate power, cooling, security, and environmental controls."
What is physical access control?,"Think locks, badges, cameras, and other controls around equipment.",Physical access control prevents unauthorized people from reaching hardware and infrastructure.
What is a security camera/NVR system?,Think physical security monitoring rather than network packet analysis.,Cameras capture video; an NVR can record and manage network camera footage.
What is a UPS battery replacement indicator?,Think the battery itself has a finite service life.,"A UPS may indicate battery degradation or replacement requirements based on self-tests, age, or measured condition."
What is a hardware inventory lifecycle?,Think procurement through retirement.,"Hardware lifecycle management covers acquisition, deployment, maintenance, replacement, and disposal."
What is an end-of-life device?,Think vendor support and updates have ended or are scheduled to end.,"An end-of-life device may no longer receive vendor support, updates, or replacement parts."
Why is unsupported hardware a career risk?,Think security and reliability.,Unsupported devices may contain unpatched vulnerabilities and become harder to repair or integrate.
What is compatibility versus interoperability?,One concerns whether a component can work in a system; the other concerns systems working together using standards.,Compatibility means a component/system can operate correctly together; interoperability means different systems can exchange/use information through compatible standards.
What is backward compatibility?,Think newer technology continuing to work with older technology.,Backward compatibility allows newer systems or standards to work with older versions under supported conditions.
What is forward compatibility?,"Think an older system tolerating future technology/features, which is generally harder to guarantee.","Forward compatibility means a system is designed to work with future versions/features, though this is often limited."
What is a hardware bottleneck?,Think one component limiting the performance of the entire system.,A hardware bottleneck occurs when a constrained component limits overall performance.
What is CPU bottleneck in gaming?,Think the CPU cannot prepare work for the GPU quickly enough.,A CPU bottleneck occurs when CPU performance limits frame rates or application throughput despite available GPU capacity.
What is GPU bottleneck?,Think the graphics processor is the limiting component.,A GPU bottleneck occurs when GPU rendering capacity limits graphics performance.
What is I/O bottleneck?,Think storage/network operations are holding up processing.,An I/O bottleneck occurs when input/output operations limit system performance.
What is thermal paste pump-out?,Think repeated thermal expansion can move paste away from the optimal contact area.,Pump-out is thermal-interface-material movement that can reduce cooling performance over time in some systems.
What is a thermal pad?,Think a solid/flexible thermal interface material used where gaps are larger.,Thermal pads transfer heat between components and heatsinks where a paste layer isn't appropriate.
What is a heat spreader?,Think distributing heat across a larger surface area.,A heat spreader spreads heat from a component to improve cooling.
What is a CPU integrated heat spreader?,Think the metal surface on top of many desktop CPUs.,The integrated heat spreader distributes CPU heat over a larger area for the cooler to remove.
What is CPU socket compatibility?,Think physical fit plus electrical/firmware support.,"A CPU must have a compatible socket and platform support, including chipset/firmware and power requirements."
What is a motherboard BIOS compatibility issue after a CPU upgrade?,Think the motherboard may physically accept the CPU but not know how to initialize it.,The board may require a firmware update to support the newer CPU.
What is memory timing?,Think latency characteristics beyond just frequency.,Memory timings describe delays associated with operations and can affect memory performance.
What is CAS latency?,Think one of the common RAM timing values.,CAS latency represents the delay between a memory read request and the availability of the requested data under the specified timing.
What is XMP/EXPO?,Think memory profiles used to configure performance settings beyond basic defaults.,XMP and EXPO are memory overclocking/profile technologies used to apply validated performance settings on supported platforms.
What can happen if a memory overclock is unstable?,Think intermittent crashes rather than a clean failure.,"System crashes, application errors, boot failures, or memory-test errors can occur."
What is ECC versus non-ECC RAM?,Think error correction.,ECC memory can detect/correct certain errors; non-ECC memory generally lacks that capability.
What is buffered/registered memory?,Think memory with registers used between the memory controller and DRAM modules.,Registered/buffered memory uses registers to reduce electrical load on the memory controller and is common in servers.
What is SO-DIMM versus DIMM?,Think laptop versus desktop form factor.,SO-DIMM is smaller and commonly used in laptops; DIMM is common in desktops/servers.
What is dual-rank memory?,Think organization of DRAM chips into ranks rather than the number of physical sticks.,A memory rank is a group of DRAM chips accessed together as a unit; a module can contain one or multiple ranks.
What is storage form factor?,Think physical shape/size rather than storage protocol.,"A form factor describes physical dimensions/connection style, such as 2.5-inch, 3.5-inch, or M.2."
What is an M.2 2280 drive?,Think the numbers describe physical dimensions.,M.2 2280 means approximately 22 mm wide and 80 mm long.
What is a 2.5-inch SSD?,Think common laptop/desktop SATA SSD form factor.,A 2.5-inch SSD is a compact drive form factor commonly used with SATA interfaces.
What is a 3.5-inch HDD?,Think common desktop hard-drive form factor.,A 3.5-inch HDD is a common desktop hard-drive form factor.
What is hot-swappable storage?,Think removing a supported drive without shutting down the system.,"Hot-swappable storage can be replaced while the system remains running when the hardware, OS, and configuration support it."
What is a storage controller?,Think hardware/firmware that manages communication between the system and storage devices.,A storage controller manages communication with storage devices and may provide RAID or other features.
What is AHCI?,Think a SATA controller mode used for advanced SATA features.,Advanced Host Controller Interface is a standard interface for SATA controllers.
What is NVMe queue depth?,Think multiple commands being handled efficiently by a modern SSD protocol.,"NVMe supports many queues and commands per queue, enabling high parallelism and low-overhead storage communication."
What is storage IOPS?,Think number of input/output operations rather than megabytes per second.,IOPS measures input/output operations per second and is useful for workloads with many small random operations.
What is sequential throughput?,Think moving large contiguous blocks of data.,Sequential throughput measures the rate of reading/writing contiguous data.
What is random I/O?,Think many small operations at different locations.,Random I/O accesses data at non-contiguous locations and is common in OS/application workloads.
What is a CPU instruction set?,Think the set of operations a processor architecture understands.,An instruction set defines the machine-level instructions a CPU can execute.
What is x86-64?,Think the common 64-bit extension of the x86 architecture used by modern PCs.,"x86-64 is a 64-bit CPU architecture used by many desktop, laptop, and server processors."
What is ARM?,Think a CPU architecture widely used in phones and increasingly in laptops/servers.,ARM is a processor architecture family emphasizing a reduced instruction-set design and power efficiency.
What is virtualization overhead?,Think the small performance/resource cost of managing virtualized hardware.,"Virtualization overhead is the additional CPU, memory, I/O, or latency cost introduced by the virtualization layer."
What is hardware passthrough in virtualization?,Think giving a VM direct access to a physical device.,Device passthrough assigns a physical device to a VM so the VM can access it more directly.
What is a virtual CPU?,Think the CPU resource presented to a VM.,A virtual CPU is a processor resource presented by the hypervisor to a virtual machine.
What is virtual RAM?,Think memory presented to a VM by the hypervisor.,Virtual RAM is memory allocated to a virtual machine from host resources.
What is virtual disk?,Think a file or storage volume presented to a VM as a disk.,A virtual disk is a software-defined storage device presented to a virtual machine.
What is thin provisioning?,Think allocating logical storage without immediately consuming all physical capacity.,"Thin provisioning allows logical storage allocation to exceed immediately consumed physical capacity, with physical space used as data is written."
What is thick provisioning?,Think reserving physical storage up front.,Thick provisioning allocates physical storage capacity in advance.
What is cloud autoscaling?,Think automatically adding/removing compute resources based on demand.,Autoscaling dynamically adjusts cloud resources according to defined metrics or policies.
What is serverless computing?,Think running application code without managing traditional servers directly.,Serverless is a cloud execution model where the provider manages infrastructure and the customer focuses primarily on application code/functions.
What is an availability SLA?,Think the provider's promised uptime percentage or service level.,An availability SLA defines the expected service availability and associated commitments.
What is a cloud outage troubleshooting strategy?,Think distinguish provider outage from local connectivity/configuration.,"Check provider status, regional service health, local DNS/network connectivity, credentials, quotas, and whether the problem affects multiple users."
What is a cloud service quota?,Think a provider-imposed limit on resources.,A cloud quota limits how many or how much of a resource an account/project can consume.
What is cloud IAM?,Think controlling who can access which cloud resources.,"Identity and Access Management controls identities, authentication, authorization, and permissions in cloud environments."
What is an IAM least-privilege policy?,Think granting only the actions required for a task.,A least-privilege IAM policy grants only the minimum permissions necessary.
What is a cloud security group?,Think virtual firewall rules associated with cloud resources.,A security group is a virtual network access-control mechanism used to allow or restrict traffic to cloud resources.
What is a cloud region outage?,Think an entire geographic provider location experiencing a disruption.,A regional outage affects services hosted in or dependent on an affected cloud region.
What is multi-region design?,Think deploying workloads across more than one geographic cloud region.,"Multi-region architecture can improve resilience against regional failures, subject to application and data design."
What is a snapshot versus an image in cloud environments?,"Think point-in-time state versus reusable deployment artifact, though terminology varies by provider.",A snapshot commonly captures storage state at a point in time; an image is commonly a reusable template for creating instances. Exact behavior varies by provider.
What is a cloud instance?,Think a virtual machine provided by a cloud service.,"A cloud instance is a virtual compute resource, commonly a VM, running in a provider environment."
What is cloud object storage useful for?,"Think backups, media, logs, archives, and large unstructured datasets.",Object storage is well suited for durable large-scale storage of unstructured data.
What is a CDN?,Think serving content from locations closer to users.,A Content Delivery Network distributes/caches content across geographically distributed edge locations to reduce latency and load.
What is latency to a cloud region important for?,Think user experience and application responsiveness.,"Geographic/network latency affects response times between users, applications, and cloud resources."
What is the shared responsibility model in cloud computing?,Think the provider and customer do not have identical security responsibilities.,Cloud security responsibilities are divided between the provider and customer depending on the service model and configuration.
